State,Date,Time,City,Vehicle_Type,Junction_Type,Peak_Hour,Weather_Condition,Lane_Count,Accident_Reported,Traffic_Light_Status,Day_Type,Congestion_Level,Vehicle_Count,Avg_Speed_km_h,Traffic_Situation,Road_Type
Haryana,01-01-2025,17.00,Kurukshetra,Car,Crossroad,Yes,Rain,4,No,Green,Weekday,Severe,217,39,Accident,Urban Road
Haryana,01-01-2025,17.15,Kurukshetra,Truck,Crossroad,Yes,Clear,6,Yes,Green,Weekday,Low,495,31,Normal,Urban Road
Haryana,01-01-2025,17.30,Rohtak,Car,Roundabout,Yes,Cloudy,4,Yes,Red,Weekday,Medium,357,29,Normal,Highway
Haryana,01-01-2025,17.45,Karnal,Truck,Crossroad,Yes,Fog,6,No,Green,Weekday,Medium,425,54,Congested,Urban Road
Haryana,01-01-2025,18.00,Kurukshetra,Bus,T-Junction,Yes,Clear,3,No,Red,Weekday,Low,93,50,Congested,Highway
Haryana,01-01-2025,18.15,Gurugram,Bus,Roundabout,Yes,Fog,3,No,Red,Weekday,High,161,57,Normal,Urban Road
Haryana,01-01-2025,18.30,Sonipat,Bus,Crossroad,Yes,Clear,5,Yes,Amber,Weekday,Severe,390,63,Accident,Highway
Haryana,01-01-2025,18.45,Hisar,Truck,Roundabout,Yes,Sunny,2,Yes,Red,Weekday,Low,349,35,Accident,Rural Road
Haryana,01-01-2025,19.00,Ambala,Two-Wheeler,Roundabout,No,Sunny,5,No,Amber,Weekday,High,344,55,Congested,Rural Road
Haryana,01-01-2025,19.15,Karnal,Two-Wheeler,Roundabout,No,Cloudy,6,No,Green,Weekday,High,52,29,Accident,Highway
Haryana,01-01-2025,19.30,Kurukshetra,Truck,T-Junction,No,Rain,2,Yes,Green,Weekday,High,335,28,Congested,Urban Road
Haryana,01-01-2025,19.45,Panipat,Auto,Crossroad,No,Cloudy,2,Yes,Red,Weekday,Severe,114,29,Congested,Rural Road
Haryana,01-01-2025,20.00,Yamunanagar,Two-Wheeler,Roundabout,No,Cloudy,2,Yes,Red,Weekday,High,326,26,Accident,Rural Road
Haryana,01-01-2025,20.15,Ambala,Car,Roundabout,No,Rain,5,Yes,Green,Weekday,Medium,422,54,Accident,Rural Road
Haryana,01-01-2025,20.30,Panipat,Bus,Crossroad,No,Sunny,2,No,Red,Weekday,Medium,593,70,Accident,Highway
Haryana,01-01-2025,20.45,Rohtak,Truck,T-Junction,No,Fog,3,No,Green,Weekday,Severe,555,36,Accident,Urban Road
Haryana,01-01-2025,21.00,Sonipat,Bus,Crossroad,No,Clear,6,No,Green,Weekday,Low,472,41,Normal,Urban Road
Haryana,01-01-2025,21.15,Rohtak,Bus,Crossroad,No,Fog,2,No,Amber,Weekday,Medium,314,61,Normal,Highway
Haryana,01-01-2025,21.30,Hisar,Bus,Roundabout,No,Cloudy,3,No,Amber,Weekday,High,403,21,Congested,Rural Road
Haryana,01-01-2025,21.45,Gurugram,Truck,Crossroad,No,Clear,4,No,Red,Weekday,Low,308,31,Normal,Highway
Haryana,01-01-2025,22.00,Karnal,Two-Wheeler,T-Junction,No,Sunny,5,No,Amber,Weekday,High,326,23,Congested,Highway
Haryana,01-01-2025,22.15,Karnal,Car,Roundabout,No,Cloudy,6,Yes,Red,Weekday,Severe,406,52,Normal,Urban Road
Haryana,01-01-2025,22.30,Kurukshetra,Two-Wheeler,Crossroad,No,Cloudy,2,No,Red,Weekday,Low,502,30,Normal,Rural Road
Haryana,01-01-2025,22.45,Faridabad,Car,T-Junction,No,Cloudy,5,Yes,Red,Weekday,Low,198,50,Congested,Urban Road
Haryana,01-01-2025,23.00,Faridabad,Bus,Roundabout,No,Sunny,5,Yes,Red,Weekday,Low,421,36,Accident,Urban Road
Haryana,01-01-2025,23.15,Ambala,Two-Wheeler,Crossroad,No,Sunny,3,Yes,Green,Weekday,High,256,59,Accident,Rural Road
Haryana,01-01-2025,23.30,Ambala,Car,Crossroad,No,Fog,4,Yes,Amber,Weekday,Medium,249,23,Congested,Highway
Haryana,01-01-2025,23.45,Yamunanagar,Truck,Roundabout,No,Sunny,3,No,Red,Weekday,High,157,61,Normal,Rural Road
Haryana,02-01-2025,0.00,Panipat,Auto,T-Junction,No,Cloudy,5,No,Red,Weekday,Low,160,52,Accident,Highway
Haryana,02-01-2025,0.15,Ambala,Auto,Roundabout,No,Rain,2,No,Green,Weekday,High,550,41,Congested,Rural Road
Haryana,02-01-2025,0.30,Faridabad,Two-Wheeler,T-Junction,No,Sunny,5,Yes,Green,Weekday,Low,417,66,Accident,Highway
Haryana,02-01-2025,0.45,Karnal,Auto,Crossroad,No,Fog,2,No,Amber,Weekday,Severe,296,33,Congested,Urban Road
Haryana,02-01-2025,1.00,Faridabad,Two-Wheeler,Crossroad,No,Clear,3,No,Green,Weekday,Medium,489,55,Accident,Rural Road
Haryana,02-01-2025,1.15,Yamunanagar,Car,Roundabout,No,Fog,6,Yes,Red,Weekday,High,280,39,Accident,Urban Road
Haryana,02-01-2025,1.30,Ambala,Bus,T-Junction,No,Fog,2,No,Green,Weekday,Severe,415,23,Normal,Rural Road
Haryana,02-01-2025,1.45,Karnal,Bus,Crossroad,No,Cloudy,4,No,Green,Weekday,High,499,40,Normal,Urban Road
Haryana,02-01-2025,2.00,Kurukshetra,Bus,Crossroad,No,Cloudy,2,No,Green,Weekday,Severe,433,35,Normal,Urban Road
Haryana,02-01-2025,2.15,Yamunanagar,Two-Wheeler,T-Junction,No,Clear,3,No,Green,Weekday,Medium,519,65,Congested,Rural Road
Haryana,02-01-2025,2.30,Hisar,Bus,Roundabout,No,Clear,6,No,Amber,Weekday,Severe,215,38,Normal,Urban Road
Haryana,02-01-2025,2.45,Faridabad,Car,T-Junction,No,Rain,6,Yes,Red,Weekday,Low,277,25,Accident,Highway
Haryana,02-01-2025,3.00,Sonipat,Truck,Roundabout,No,Rain,5,Yes,Green,Weekday,High,457,62,Congested,Urban Road
Haryana,02-01-2025,3.15,Hisar,Auto,T-Junction,No,Fog,2,No,Red,Weekday,Severe,479,45,Accident,Rural Road
Haryana,02-01-2025,3.30,Karnal,Truck,Crossroad,No,Sunny,6,Yes,Green,Weekday,Severe,54,56,Normal,Urban Road
Haryana,02-01-2025,3.45,Yamunanagar,Truck,Roundabout,No,Clear,2,No,Amber,Weekday,Medium,324,59,Accident,Highway
Haryana,02-01-2025,4.00,Faridabad,Truck,Roundabout,No,Cloudy,3,Yes,Red,Weekday,Severe,302,48,Accident,Urban Road
Haryana,02-01-2025,4.15,Gurugram,Auto,Roundabout,No,Sunny,5,No,Amber,Weekday,Severe,408,63,Congested,Rural Road
Haryana,02-01-2025,4.30,Hisar,Bus,Roundabout,No,Clear,6,Yes,Red,Weekday,High,317,65,Normal,Urban Road
Haryana,02-01-2025,4.45,Sonipat,Car,Crossroad,No,Sunny,6,Yes,Green,Weekday,High,356,53,Congested,Highway
Haryana,02-01-2025,5.00,Panipat,Bus,Roundabout,No,Rain,3,No,Green,Weekday,Medium,565,62,Accident,Highway
Haryana,02-01-2025,5.15,Panipat,Two-Wheeler,T-Junction,No,Sunny,3,Yes,Amber,Weekday,Medium,55,50,Accident,Urban Road
Haryana,02-01-2025,5.30,Sonipat,Car,T-Junction,No,Sunny,6,No,Amber,Weekday,Severe,557,58,Accident,Urban Road
Haryana,02-01-2025,5.45,Gurugram,Two-Wheeler,Crossroad,No,Cloudy,6,Yes,Red,Weekday,High,419,32,Accident,Urban Road
Haryana,02-01-2025,6.00,Gurugram,Two-Wheeler,T-Junction,No,Sunny,4,No,Green,Weekday,High,90,21,Normal,Urban Road
Haryana,02-01-2025,6.15,Gurugram,Truck,Roundabout,No,Sunny,6,No,Red,Weekday,Severe,515,68,Normal,Urban Road
Haryana,02-01-2025,6.30,Ambala,Auto,Crossroad,No,Sunny,4,Yes,Green,Weekday,High,96,64,Accident,Highway
Haryana,02-01-2025,6.45,Karnal,Bus,Crossroad,No,Rain,3,No,Green,Weekday,Medium,494,56,Normal,Urban Road
Haryana,02-01-2025,7.00,Gurugram,Truck,T-Junction,No,Clear,4,No,Amber,Weekday,Low,357,59,Accident,Highway
Haryana,02-01-2025,7.15,Sonipat,Auto,Roundabout,No,Clear,4,Yes,Green,Weekday,High,303,21,Normal,Urban Road
Haryana,02-01-2025,7.30,Faridabad,Bus,T-Junction,No,Cloudy,5,Yes,Amber,Weekday,Low,426,42,Accident,Urban Road
Haryana,02-01-2025,7.45,Ambala,Truck,Roundabout,No,Fog,2,Yes,Red,Weekday,High,223,23,Congested,Highway
Haryana,02-01-2025,8.00,Panipat,Truck,Crossroad,Yes,Rain,6,No,Green,Weekday,High,125,66,Normal,Highway
Haryana,02-01-2025,8.15,Karnal,Auto,Crossroad,Yes,Cloudy,5,Yes,Green,Weekday,Low,106,50,Accident,Highway
Haryana,02-01-2025,8.30,Panipat,Auto,Roundabout,Yes,Sunny,5,No,Amber,Weekday,Low,584,56,Normal,Rural Road
Haryana,02-01-2025,8.45,Faridabad,Two-Wheeler,Roundabout,Yes,Fog,2,Yes,Green,Weekday,Medium,572,64,Congested,Rural Road
Haryana,02-01-2025,9.00,Yamunanagar,Bus,Roundabout,Yes,Fog,6,Yes,Amber,Weekday,Medium,139,55,Normal,Highway
Haryana,02-01-2025,9.15,Karnal,Auto,Crossroad,Yes,Clear,6,Yes,Red,Weekday,Medium,596,67,Congested,Highway
Haryana,02-01-2025,9.30,Panipat,Bus,T-Junction,Yes,Rain,4,No,Amber,Weekday,Severe,544,48,Normal,Urban Road
Haryana,02-01-2025,9.45,Kurukshetra,Two-Wheeler,T-Junction,Yes,Clear,3,Yes,Amber,Weekday,High,449,65,Accident,Highway
Haryana,02-01-2025,10.00,Rohtak,Car,Roundabout,No,Clear,3,No,Green,Weekday,Medium,442,65,Normal,Urban Road
Haryana,02-01-2025,10.15,Karnal,Car,Crossroad,No,Cloudy,6,No,Amber,Weekday,Low,302,31,Congested,Rural Road
Haryana,02-01-2025,10.30,Panipat,Car,Crossroad,No,Rain,6,Yes,Green,Weekday,Medium,58,39,Normal,Highway
Haryana,02-01-2025,10.45,Kurukshetra,Bus,Roundabout,No,Fog,6,Yes,Green,Weekday,High,167,59,Accident,Urban Road
Haryana,02-01-2025,11.00,Ambala,Bus,T-Junction,No,Rain,6,Yes,Amber,Weekday,Low,58,44,Normal,Rural Road
Haryana,02-01-2025,11.15,Kurukshetra,Car,Roundabout,No,Sunny,4,Yes,Red,Weekday,Severe,379,70,Congested,Urban Road
Haryana,02-01-2025,11.30,Faridabad,Bus,Roundabout,No,Fog,3,No,Red,Weekday,Severe,211,35,Congested,Rural Road
Haryana,02-01-2025,11.45,Yamunanagar,Car,Crossroad,No,Rain,3,No,Amber,Weekday,Severe,176,41,Congested,Urban Road
Haryana,02-01-2025,12.00,Sonipat,Bus,Crossroad,No,Fog,6,No,Red,Weekday,Low,85,57,Congested,Urban Road
Haryana,02-01-2025,12.15,Karnal,Car,T-Junction,No,Sunny,2,No,Green,Weekday,Low,387,56,Congested,Urban Road
Haryana,02-01-2025,12.30,Ambala,Truck,Crossroad,No,Sunny,6,No,Green,Weekday,Medium,187,60,Normal,Highway
Haryana,02-01-2025,12.45,Faridabad,Truck,Roundabout,No,Sunny,5,Yes,Amber,Weekday,High,519,59,Normal,Urban Road
Haryana,02-01-2025,13.00,Kurukshetra,Bus,Roundabout,No,Fog,4,No,Amber,Weekday,Medium,363,47,Congested,Highway
Haryana,02-01-2025,13.15,Karnal,Two-Wheeler,T-Junction,No,Rain,2,No,Red,Weekday,Severe,560,63,Congested,Highway
Haryana,02-01-2025,13.30,Karnal,Bus,Roundabout,No,Sunny,3,Yes,Green,Weekday,Low,342,64,Normal,Highway
Haryana,02-01-2025,13.45,Rohtak,Two-Wheeler,Crossroad,No,Clear,5,No,Red,Weekday,Severe,106,31,Normal,Highway
Haryana,02-01-2025,14.00,Ambala,Car,Roundabout,No,Sunny,4,No,Green,Weekday,Medium,204,59,Normal,Highway
Haryana,02-01-2025,14.15,Hisar,Car,Crossroad,No,Fog,5,No,Green,Weekday,High,160,25,Congested,Urban Road
Haryana,02-01-2025,14.30,Hisar,Car,Crossroad,No,Rain,5,No,Amber,Weekday,High,365,34,Congested,Highway
Haryana,02-01-2025,14.45,Kurukshetra,Two-Wheeler,Roundabout,No,Clear,4,Yes,Amber,Weekday,Low,162,54,Normal,Urban Road
Haryana,02-01-2025,15.00,Panipat,Truck,Crossroad,No,Cloudy,2,Yes,Amber,Weekday,High,123,24,Congested,Highway
Haryana,02-01-2025,15.15,Hisar,Two-Wheeler,Roundabout,No,Rain,2,Yes,Amber,Weekday,Low,436,34,Normal,Urban Road
Haryana,02-01-2025,15.30,Gurugram,Auto,Crossroad,No,Fog,6,No,Green,Weekday,High,215,23,Congested,Urban Road
Haryana,02-01-2025,15.45,Faridabad,Car,Crossroad,No,Sunny,2,Yes,Green,Weekday,High,236,65,Normal,Rural Road
Haryana,02-01-2025,16.00,Faridabad,Two-Wheeler,Crossroad,No,Sunny,2,Yes,Red,Weekday,Medium,392,25,Normal,Rural Road
Haryana,02-01-2025,16.15,Faridabad,Bus,T-Junction,No,Rain,2,No,Amber,Weekday,High,182,42,Accident,Rural Road
Haryana,02-01-2025,16.30,Gurugram,Auto,Crossroad,No,Fog,4,No,Amber,Weekday,High,142,37,Congested,Highway
Haryana,02-01-2025,16.45,Ambala,Bus,Roundabout,No,Cloudy,4,No,Red,Weekday,Severe,348,59,Accident,Urban Road
Haryana,02-01-2025,17.00,Kurukshetra,Bus,T-Junction,Yes,Rain,3,No,Amber,Weekday,Severe,323,43,Accident,Urban Road
Haryana,02-01-2025,17.15,Gurugram,Truck,Roundabout,Yes,Sunny,6,Yes,Amber,Weekday,Low,364,28,Congested,Urban Road
Haryana,02-01-2025,17.30,Yamunanagar,Car,Roundabout,Yes,Clear,4,No,Amber,Weekday,High,272,53,Normal,Rural Road
Haryana,02-01-2025,17.45,Faridabad,Car,Crossroad,Yes,Rain,4,No,Green,Weekday,Medium,100,61,Normal,Urban Road
Haryana,02-01-2025,18.00,Faridabad,Bus,Roundabout,Yes,Cloudy,6,Yes,Red,Weekday,High,71,44,Congested,Urban Road
Haryana,02-01-2025,18.15,Ambala,Truck,T-Junction,Yes,Sunny,6,No,Green,Weekday,High,57,25,Congested,Rural Road
Haryana,02-01-2025,18.30,Kurukshetra,Truck,Roundabout,Yes,Cloudy,5,No,Green,Weekday,Medium,590,50,Accident,Rural Road
Haryana,02-01-2025,18.45,Rohtak,Two-Wheeler,Crossroad,Yes,Fog,2,Yes,Red,Weekday,Medium,76,68,Accident,Urban Road
Haryana,02-01-2025,19.00,Hisar,Two-Wheeler,Roundabout,No,Rain,5,No,Green,Weekday,High,312,38,Accident,Rural Road
Haryana,02-01-2025,19.15,Panipat,Truck,Roundabout,No,Rain,5,No,Green,Weekday,High,333,22,Normal,Highway
Haryana,02-01-2025,19.30,Karnal,Auto,T-Junction,No,Rain,3,No,Red,Weekday,High,192,68,Accident,Highway
Haryana,02-01-2025,19.45,Yamunanagar,Bus,Roundabout,No,Fog,6,No,Red,Weekday,Severe,344,51,Accident,Highway
Haryana,02-01-2025,20.00,Sonipat,Car,T-Junction,No,Fog,6,Yes,Green,Weekday,Low,471,67,Accident,Urban Road
Haryana,02-01-2025,20.15,Rohtak,Two-Wheeler,Roundabout,No,Fog,6,No,Amber,Weekday,Severe,165,20,Congested,Highway
Haryana,02-01-2025,20.30,Gurugram,Car,Crossroad,No,Rain,2,No,Red,Weekday,High,593,59,Normal,Urban Road
Haryana,02-01-2025,20.45,Faridabad,Two-Wheeler,Crossroad,No,Clear,6,Yes,Amber,Weekday,Medium,448,59,Normal,Rural Road
Haryana,02-01-2025,21.00,Sonipat,Two-Wheeler,T-Junction,No,Fog,4,No,Red,Weekday,Severe,591,29,Accident,Rural Road
Haryana,02-01-2025,21.15,Yamunanagar,Auto,Roundabout,No,Sunny,5,Yes,Green,Weekday,Severe,325,60,Congested,Urban Road
Haryana,02-01-2025,21.30,Panipat,Two-Wheeler,T-Junction,No,Sunny,4,No,Amber,Weekday,Medium,539,33,Congested,Highway
Haryana,02-01-2025,21.45,Rohtak,Auto,Roundabout,No,Rain,2,Yes,Red,Weekday,Medium,154,25,Normal,Highway
Haryana,02-01-2025,22.00,Kurukshetra,Truck,Crossroad,No,Fog,2,No,Red,Weekday,Medium,247,52,Congested,Highway
Haryana,02-01-2025,22.15,Sonipat,Two-Wheeler,T-Junction,No,Cloudy,6,Yes,Green,Weekday,Low,147,53,Normal,Rural Road
Haryana,02-01-2025,22.30,Ambala,Two-Wheeler,Roundabout,No,Clear,2,Yes,Red,Weekday,High,236,70,Normal,Rural Road
Haryana,02-01-2025,22.45,Karnal,Truck,Crossroad,No,Sunny,2,Yes,Green,Weekday,High,183,37,Congested,Urban Road
Haryana,02-01-2025,23.00,Gurugram,Car,Crossroad,No,Clear,4,No,Amber,Weekday,High,277,62,Congested,Highway
Haryana,02-01-2025,23.15,Yamunanagar,Two-Wheeler,T-Junction,No,Clear,3,No,Red,Weekday,High,175,52,Congested,Urban Road
Haryana,02-01-2025,23.30,Gurugram,Car,T-Junction,No,Sunny,2,Yes,Amber,Weekday,Low,132,68,Congested,Rural Road
Haryana,02-01-2025,23.45,Ambala,Truck,T-Junction,No,Rain,4,No,Amber,Weekday,Severe,105,70,Normal,Highway
Haryana,03-01-2025,0.00,Ambala,Auto,Crossroad,No,Sunny,5,No,Green,Weekday,Medium,94,68,Congested,Rural Road
Haryana,03-01-2025,0.15,Gurugram,Auto,Roundabout,No,Clear,5,Yes,Green,Weekday,Medium,143,41,Accident,Urban Road
Haryana,03-01-2025,0.30,Kurukshetra,Bus,T-Junction,No,Rain,6,No,Amber,Weekday,High,195,33,Accident,Highway
Haryana,03-01-2025,0.45,Sonipat,Auto,Roundabout,No,Cloudy,5,Yes,Green,Weekday,Severe,420,27,Normal,Highway
Haryana,03-01-2025,1.00,Hisar,Auto,Roundabout,No,Clear,4,No,Amber,Weekday,Medium,412,58,Accident,Highway
Haryana,03-01-2025,1.15,Sonipat,Car,Crossroad,No,Rain,3,Yes,Green,Weekday,Low,223,43,Accident,Rural Road
Haryana,03-01-2025,1.30,Rohtak,Bus,T-Junction,No,Sunny,2,Yes,Red,Weekday,High,322,64,Accident,Highway
Haryana,03-01-2025,1.45,Panipat,Auto,Roundabout,No,Clear,3,No,Green,Weekday,Low,171,29,Accident,Rural Road
Haryana,03-01-2025,2.00,Karnal,Auto,Roundabout,No,Clear,3,Yes,Green,Weekday,Medium,245,69,Accident,Highway
Haryana,03-01-2025,2.15,Hisar,Truck,Roundabout,No,Cloudy,4,Yes,Red,Weekday,Low,396,22,Congested,Urban Road
Haryana,03-01-2025,2.30,Yamunanagar,Two-Wheeler,T-Junction,No,Sunny,3,No,Green,Weekday,Low,258,48,Normal,Rural Road
Haryana,03-01-2025,2.45,Kurukshetra,Two-Wheeler,T-Junction,No,Rain,6,Yes,Green,Weekday,Severe,123,37,Accident,Highway
Haryana,03-01-2025,3.00,Panipat,Car,Crossroad,No,Fog,3,No,Green,Weekday,Low,596,66,Accident,Highway
Haryana,03-01-2025,3.15,Gurugram,Bus,T-Junction,No,Clear,3,No,Green,Weekday,Medium,368,67,Accident,Rural Road
Haryana,03-01-2025,3.30,Ambala,Car,Roundabout,No,Fog,6,Yes,Red,Weekday,Medium,217,21,Congested,Highway
Haryana,03-01-2025,3.45,Ambala,Truck,Roundabout,No,Cloudy,6,No,Amber,Weekday,Severe,551,35,Accident,Highway
Haryana,03-01-2025,4.00,Panipat,Bus,Roundabout,No,Sunny,4,Yes,Green,Weekday,Low,243,67,Accident,Highway
Haryana,03-01-2025,4.15,Karnal,Auto,Crossroad,No,Sunny,6,Yes,Red,Weekday,Medium,534,30,Congested,Rural Road
Haryana,03-01-2025,4.30,Yamunanagar,Truck,Crossroad,No,Cloudy,6,Yes,Green,Weekday,Low,59,49,Congested,Urban Road
Haryana,03-01-2025,4.45,Panipat,Bus,Crossroad,No,Cloudy,5,No,Green,Weekday,Medium,89,40,Accident,Urban Road
Haryana,03-01-2025,5.00,Ambala,Two-Wheeler,Roundabout,No,Fog,6,Yes,Green,Weekday,Severe,334,49,Normal,Highway
Haryana,03-01-2025,5.15,Ambala,Truck,Roundabout,No,Fog,5,Yes,Green,Weekday,Severe,478,65,Congested,Highway
Haryana,03-01-2025,5.30,Panipat,Bus,T-Junction,No,Clear,6,No,Amber,Weekday,Medium,241,25,Normal,Highway
Haryana,03-01-2025,5.45,Faridabad,Two-Wheeler,T-Junction,No,Clear,6,No,Red,Weekday,Medium,475,41,Normal,Urban Road
Haryana,03-01-2025,6.00,Hisar,Truck,Roundabout,No,Sunny,5,No,Green,Weekday,High,223,30,Accident,Urban Road
Haryana,03-01-2025,6.15,Ambala,Car,Crossroad,No,Sunny,3,No,Green,Weekday,Severe,403,32,Congested,Urban Road
Haryana,03-01-2025,6.30,Karnal,Truck,Crossroad,No,Rain,5,No,Green,Weekday,High,201,29,Normal,Highway
Haryana,03-01-2025,6.45,Panipat,Two-Wheeler,Crossroad,No,Rain,4,Yes,Red,Weekday,Severe,473,59,Congested,Urban Road
Haryana,03-01-2025,7.00,Kurukshetra,Car,T-Junction,No,Sunny,6,Yes,Green,Weekday,Low,149,59,Accident,Highway
Haryana,03-01-2025,7.15,Ambala,Bus,Crossroad,No,Fog,3,No,Green,Weekday,Severe,577,58,Normal,Highway
